cruise,station,depth,O18,layer,salinity,latitude,longitude
AMBON2015, CL0,5.218,-3.334067539,Surface,30.0745,68.899,-166.4228
AMBON2015, CL0,23.033,-3.559755341,Bottom,30.1892,68.899,-166.4228
AMBON2015, CL1,4.312,-3.198973976,Surface,30.1178,68.9482,-166.908
AMBON2015, CL1,40.932,-1.388344925,Bottom,31.7036,68.9482,-166.908
AMBON2015, CL1.5,4.473,-2.548502597,Surface,30.738,69.0003,-167.4347
AMBON2015, CL1.5,42.327,-1.292182181,Bottom,32.063,69.0003,-167.4347
AMBON2015, CL2,5.568,-2.014886274,Surface,31.1475,69.0288,-167.9343
AMBON2015, CL2,29.761,-0.921819777,Bottom,31.8721,69.0288,-167.9343
AMBON2015, CL2.5,5.177,-1.52505289,Surface,31.2009,69.0302,-168.4112
AMBON2015, CL2.5,42.655,-1.027659867,Bottom,31.8244,69.0302,-168.4112
AMBON2015, CL3,4.958,-1.030506205,Surface,31.7654,69.0335,-168.8928
AMBON2015, CL3,42.273,-1.010822614,Bottom,32.14,69.0335,-168.8928
AMBON2015, DBO3.1,5.261,-2.67653951,Surface,30.0668,68.2993,-166.9358
AMBON2015, DBO3.1,10.209,-3.140417878,,30.3186,68.2993,-166.9358
AMBON2015, DBO3.1,21.553,-2.138977085,,31.0905,68.2993,-166.9358
AMBON2015, DBO3.1,27.477,-1.846519261,Bottom,31.1927,68.2993,-166.9358
AMBON2015, DBO3.2,3.692,-1.32317531,Surface,31.495,68.2427,-167.1243
AMBON2015, DBO3.2,9.557,-1.503177158,,31.5269,68.2427,-167.1243
AMBON2015, DBO3.2,20.661,-1.563167243,,31.634,68.2427,-167.1243
AMBON2015, DBO3.2,28.828,-1.250720475,,31.6509,68.2427,-167.1243
AMBON2015, DBO3.2,35.547,-1.416127854,Bottom,31.719,68.2427,-167.1243
AMBON2015, DBO3.3,5.434,-0.999926125,Surface,31.7788,68.1862,-167.307
AMBON2015, DBO3.3,9.802,-1.214614144,,31.779,68.1862,-167.307
AMBON2015, DBO3.3,21.281,-1.146817928,,31.8965,68.1862,-167.307
AMBON2015, DBO3.3,29.748,-0.751339997,,31.8992,68.1862,-167.307
AMBON2015, DBO3.3,41.15,-0.446257022,Bottom,31.9008,68.1862,-167.307
AMBON2015, DBO3.4,2.531,-1.235800462,Surface,31.9439,68.1248,-167.4978
