station.master,station,latitude.master,longitude.master
BBL1,BBL1,69.344167,-163.509
BBL10,BBL10,70.1925,-167.363833
BBL11,BBL11,70.280833,-167.8155
BBL12,BBL12,70.3695,-168.2795
BBL2,BBL2,69.450333,-163.920667
BBL3,BBL3,69.5485,-164.4225
BBL4,BBL4,69.6405,-164.814167
BBL5,BBL5,69.7335,-165.214667
BBL6,BBL6,69.824,-165.630667
BBL7,BBL7,69.917,-166.055833
BBL8,BBL8,70.0055,-166.473
BBL9,BBL9,70.096833,-166.908
BBL1,BBL.1,69.344167,-163.509
BBL10,BBL.10,70.1925,-167.363833
BBL11,BBL.11,70.280833,-167.8155
BBL12,BBL.12,70.3695,-168.2795
BBL2,BBL.2,69.450333,-163.920667
BBL3,BBL.3,69.5485,-164.4225
BBL4,BBL.4,69.6405,-164.814167
BBL5,BBL.5,69.7335,-165.214667
BBL6,BBL.6,69.824,-165.630667
BBL7,BBL.7,69.917,-166.055833
BBL8,BBL.8,70.0055,-166.473
BBL9,BBL.9,70.096833,-166.908
BC2,BC2,70.9253,-159.943
CEM,CEM,71.5987,-161.5062
CEO16,CEO16,71.601833,-161.519833
CEO17,CEO17,71.605667,-161.462667
CL0,CL0,68.9,-166.42
CL1,CL1,68.948,-166.9178
CL1.5,CL1.5,68.99983,-167.43533
CL2,CL2,69.0298,-167.9342
CL2.5,CL2.5,69.03017,-168.41167
CL3,CL3,69.0032,-168.8938
DBO3.1,DBO3.1,68.3,-166.935
DBO3.2,DBO3.2,68.242,-167.122
DBO3.3,DBO3.3,68.185,-167.308
DBO3.4,DBO3.4,68.128,-167.495
DBO3.5,DBO3.5,68.013,-167.867
DBO3.6,DBO3.6,67.898,-168.235
DBO3.7,DBO3.7,67.783,-168.602
DBO3.8,DBO3.8,67.67,-168.96
ML1.1,ML1.1,70.03814,-162.76819
ML1.10,ML1.10,71.14407,-166.02798
ML1.11,ML1.11,71.26598,-166.42171
ML1.12,ML1.12,71.38705,-166.8204
ML1.13,ML1.13,71.50726,-167.22409
ML1.2,ML1.2,70.14024,-163.04788
ML1.4,ML1.4,70.39559,-163.76505
ML1.5,ML1.5,70.52219,-164.13038
ML1.6,ML1.6,70.64805,-164.50028
ML1.7,ML1.7,70.77323,-164.87508
ML1.9,ML1.9,71.02126,-165.63887
ML3.1,ML3.1,70.49558,-160.62168
ML3.10,ML3.10,71.6171,-163.76755
ML3.10,DBO4.6,71.6171,-163.76755
ML3.11,ML3.11,71.74375,-164.15978
ML3.12,ML3.12,71.87068,-164.55625
ML3.13,ML3.13,71.99457,-164.95438
ML3.14,ML3.14,72.119,-165.35955
ML3.2,ML3.2,70.57807,-160.83855
ML3.3,ML3.3,70.71065,-161.18623
ML3.4A,DBO4.0A,70.90683,-161.71817
ML3.4A,ML3.4A,70.90683,-161.71817
ML3.5,DBO4.1,70.97255,-161.90328
ML3.5,ML3.5,70.97255,-161.90328
ML3.5A,DBO4.1A,71.0405,-162.08917
ML3.5A,ML3.5A,71.0405,-162.08917
ML3.6,DBO4.2,71.10397,-162.25855
ML3.6,ML3.6,71.10397,-162.25855
ML3.6A,DBO4.2A,71.171,-162.45
ML3.6A,ML3.6A,71.171,-162.45
ML3.7,DBO4.3,71.23278,-162.63495
ML3.7,ML3.7,71.23278,-162.63495
ML3.7A,DBO4.3A,71.29567,-162.81033
ML3.7A,ML3.7A,71.29567,-162.81033
ML3.8,DBO4.4,71.36178,-163.00675
ML3.8,ML3.8,71.36178,-163.00675
ML3.8,ML5.8,71.36178,-163.00675
ML3.8A,DBO4.4A,71.4285,-163.2
ML3.8A,ML3.8A,71.4285,-163.2
ML3.9,DBO4.5,71.48882,-163.39212
ML3.9,ML3.9,71.48882,-163.39212
ML3.9A,DBO4.5A,71.55483,-163.57117
ML3.9A,ML3.9A,71.55483,-163.57117
ML4.1,ML4.1,70.89203,-159.39283
ML4.10,ML4.10,71.9799,-162.54103
ML4.105,ML4.105,72.045,-162.7292
ML4.11,ML4.11,72.10862,-162.92485
ML4.115,ML4.115,72.1688,-163.1082
ML4.12,ML4.12,72.2372,-163.31918
ML4.13,ML4.13,72.36473,-163.72418
ML4.14,ML4.14,72.49573,-164.10748
ML4.2,ML4.2,70.93133,-159.50782
ML4.3,ML4.3,71.06233,-159.89112
ML4.5,ML4.5,71.32433,-160.65772
ML4.6,ML4.6,71.45533,-161.04102
ML4.7,ML4.7,71.58868,-161.40358
ML4.8,ML5.11,71.72018,-161.78042
ML4.8,ML4.8,71.72018,-161.78042
ML4.9,ML4.9,71.84975,-162.16157
ML5.1,ML5.1,70.64629,-165.99784
ML5.10,ML5.10,71.60334,-162.1984
ML5.2,ML5.2,70.772,-165.62717
ML5.3,ML1.8,70.89794,-165.2529
ML5.3,ML5.3,70.89794,-165.2529
ML5.4,ML5.4,71.02267,-164.87567
ML5.5,ML5.5,71.14597,-164.48551
ML5.6,ML5.6,71.11936,-163.80133
ML5.7,ML5.7,71.24099,-163.4026
ML5.9,ML5.9,71.48318,-162.60624
ML6.1,ML6.1,70.08647,-163.96028
ML6.10,ML4.4,71.19333,-160.27442
ML6.10,ML6.10,71.19333,-160.27442
ML6.11,ML6.11,71.36062,-159.69313
ML6.2,ML1.3,70.26827,-163.40424
ML6.2,ML6.2,70.26827,-163.40424
