Cruise,eventDate,locationID,decimalLatitude,decimalLongitude,maximumDepthInMeters,samplingProtocol,Haul,Quantitative,Distance,Width,SST,BT,SSS,Bsal
AMBON15,2015-08-13T05:50-08:00,CL0,68.90218,-166.413,31,IKMT,3,Quantitative,362.8697053,,10.2182,9.7864,30.075,30.1976
AMBON15,2015-08-13T05:38-08:00,CL0,68.909565,-166.4094,31,PSBTA,11,Quantitative,230.7396678,2.257,10.2182,9.7864,30.075,30.1976
AMBON15,2015-08-13T08:31-08:00,CL1,68.948515,-166.91285,45,PSBTA,12,Quantitative,260.158685,2.257,10.0265,7.4619,30.1181,31.7046
AMBON15,2015-08-14T05:18-08:00,CL2,69.03027,-167.9392,47,PSBTA,14,Quantitative,264.2284224,2.257,8.9493,6.399,30.879,31.9789
AMBON15,2015-08-13T22:18-08:00,CL3,69.029805,-168.90595,51,IKMT,4,Quantitative,722.7787602,,7.954,4.7253,31.7894,32.1396
AMBON15,2015-08-13T21:54-08:00,CL3,69.03186,-168.89528,51,PSBTA,13,Quantitative,212.2864942,2.257,7.954,4.7253,31.7894,32.1396
AMBON15,2015-08-13T00:14-08:00,DBO3.1,68.30091,-166.9406,34,PSBTA,9,Non-Quantitative,211.3823222,2.257,10.281,8.4617,30.0728,31.1977
AMBON15,2015-08-13T00:31-08:00,DBO3.1,68.301565,-166.9429,34,PSBTA,10,Quantitative,266.9031834,2.257,10.281,8.4617,30.0728,31.1977
AMBON15,2015-08-12T22:55-08:00,DBO3.2,68.24646,-167.12595,41,IKMT,2,Quantitative,527.1351095,,8.5109,7.6413,31.4896,31.7238
AMBON15,2015-08-12T22:40-08:00,DBO3.2,68.24373,-167.124,41,PSBTA,8,Quantitative,288.399583,2.257,8.5109,7.6413,31.4896,31.7238
AMBON15,2015-08-12T20:50-08:00,DBO3.3,68.187105,-167.30835,47,PSBTA,7,Quantitative,302.4083995,2.257,7.6238,7.3734,31.7843,31.9014
AMBON15,2015-08-12T07:57-08:00,DBO3.4,68.128835,-167.49755,47,PSBTA,5,Quantitative,162.901389,2.257,7.4083,5.8559,31.9437,32.0327
AMBON15,2015-08-12T08:14-08:00,DBO3.4,68.12776,-167.49825,47,PSBTA,6,Quantitative,222.5264263,2.257,7.4083,5.8559,31.9437,32.0327
AMBON15,2015-08-12T05:21-08:00,DBO3.5,68.012385,-167.86695,50,PSBTA,4,Quantitative,237.2335446,2.257,7.3785,4.6806,31.7516,32.2596
AMBON15,2015-08-12T02:50-08:00,DBO3.6,67.899335,-168.2356,56,PSBTA,3,Quantitative,251.4074472,2.257,5.9858,4.1919,32.4077,32.6032
AMBON15,2015-08-12T00:18-08:00,DBO3.7,67.778185,-168.603,48,PSBTA,2,Quantitative,254.1401643,2.257,5.5726,3.9225,32.6913,32.6893
AMBON15,2015-08-11T22:01-08:00,DBO3.8,67.67514,-168.9573,48,IKMT,1,Quantitative,528.0717878,,6.0512,3.8203,32.649,32.745
AMBON15,2015-08-11T21:41-08:00,DBO3.8,67.67147,-168.95775,48,PSBTA,1,Quantitative,248.4246896,2.257,6.0512,3.8203,32.649,32.745
AMBON15,2015-09-03T03:59-08:00,ML1.1,70.034395,-162.7684,13,IKMT,30,Quantitative,266.938179,,7.4819,7.2228,29.6269,30.6003
AMBON15,2015-09-03T03:45-08:00,ML1.1,70.0373,-162.7863,13,PSBTA,75,Quantitative,259.5517289,2.257,7.4819,7.2228,29.6269,30.6003
AMBON15,2015-09-01T07:20-08:00,ML1.10,71.145135,-166.03305,41,IKMT,26,Quantitative,684.3678009,,4.2698,0.3864,31.9092,32.3599
AMBON15,2015-09-01T06:47-08:00,ML1.10,71.143135,-166.02985,41,PSBTA,66,Non-Quantitative,354.4808757,2.257,4.2698,0.3864,31.9092,32.3599
AMBON15,2015-09-01T07:06-08:00,ML1.10,71.14378,-166.028675,41,PSBTA,67,Non-Quantitative,442.1420489,2.257,4.2698,0.3864,31.9092,32.3599
AMBON15,2015-09-01T04:11-08:00,ML1.11,71.26343,-166.42675,43,PSBTA,65,Quantitative,278.5427476,2.257,4.2273,0.091,31.8668,32.4007
AMBON15,2015-09-01T01:33-08:00,ML1.12,71.38488,-166.8244,45,PSBTA,64,Quantitative,297.207689,2.257,3.8523,0.2572,31.7963,32.3332
AMBON15,2015-08-31T22:35-08:00,ML1.13,71.5075,-167.21855,47,IKMT,25,Quantitative,711.7659464,,3.9035,-0.1502,31.7356,32.3812
AMBON15,2015-08-31T22:04-08:00,ML1.13,71.50988,-167.2197,47,PSBTA,62,Non-Quantitative,255.6824871,2.257,3.9035,-0.1502,31.7356,32.3812
AMBON15,2015-08-31T22:21-08:00,ML1.13,71.509775,-167.21935,47,PSBTA,63,Quantitative,263.6571488,2.257,3.9035,-0.1502,31.7356,32.3812
AMBON15,2015-09-03T01:13-08:00,ML1.2,70.14116,-163.05405,20,PSBTA,74,Quantitative,270.0680774,2.257,7.5981,7.5301,30.682,30.7489
AMBON15,2015-09-02T23:09-08:00,ML1.3,70.269545,-163.4069,28,IKMT,29,Quantitative,466.0198257,,7.5981,7.5301,30.682,30.7489
AMBON15,2015-09-02T21:18-08:00,ML1.4,70.400415,-163.7541,33,PSBTA,73,Quantitative,258.832682,2.257,7.2292,6.6107,30.9733,31.2141
AMBON15,2015-09-02T07:02-08:00,ML1.5,70.520215,-164.126,42,PSBTA,72,Quantitative,269.1417403,2.257,5.7068,5.5896,31.6739,31.699
AMBON15,2015-09-02T04:30-08:00,ML1.6,70.646575,-164.50425,45,IKMT,28,Quantitative,727.2227864,,5.0948,4.8999,31.8608,31.8786
AMBON15,2015-09-02T04:15-08:00,ML1.6,70.648165,-164.50265,45,PSBTA,71,Quantitative,268.7578586,2.257,5.0948,4.8999,31.8608,31.8786
AMBON15,2015-09-02T01:55-08:00,ML1.7,70.772115,-164.8846,38,PSBTA,70,Quantitative,282.7738107,2.257,5.0186,4.8204,31.8818,31.8975
AMBON15,2015-09-01T23:41-08:00,ML1.8,70.894035,-165.25865,39,IKMT,27,Quantitative,701.6505686,,5.1019,1.2476,31.8683,32.2957
AMBON15,2015-09-01T23:28-08:00,ML1.8,70.89604,-165.25165,39,PSBTA,69,Quantitative,260.9910576,2.257,5.1019,1.2476,31.8683,32.2957
